Date	Price	Open	High	Low	Change
10/2/2007	1.4153	1.4235	1.4237	1.4138	-0.57%
10/3/2007	1.4098	1.4155	1.4199	1.4083	-0.39%
10/4/2007	1.4135	1.4099	1.4148	1.4067	0.26%
10/5/2007	1.4134	1.4134	1.4156	1.4032	-0.01%
10/8/2007	1.4044	1.4148	1.4149	1.4036	-0.64%
10/9/2007	1.4106	1.4046	1.4113	1.4014	0.44%
10/10/2007	1.4137	1.4107	1.417	1.4093	0.22%
10/11/2007	1.4198	1.4138	1.424	1.4135	0.43%
10/12/2007	1.4177	1.4197	1.4212	1.4155	-0.15%
10/15/2007	1.42	1.4165	1.4242	1.4161	0.16%
10/16/2007	1.4175	1.4199	1.4225	1.4143	-0.18%
10/17/2007	1.4205	1.4176	1.4229	1.4156	0.21%
10/18/2007	1.429	1.4204	1.4309	1.4196	0.60%
10/19/2007	1.43	1.4289	1.4317	1.4245	0.07%
10/22/2007	1.4177	1.4329	1.4348	1.4125	-0.86%
10/23/2007	1.4255	1.4176	1.4278	1.417	0.55%
10/24/2007	1.426	1.4256	1.4268	1.4187	0.04%
10/25/2007	1.4322	1.4259	1.4342	1.4247	0.43%
10/26/2007	1.4392	1.432	1.4393	1.4316	0.49%
10/29/2007	1.4415	1.4405	1.4435	1.4376	0.16%
10/30/2007	1.4438	1.4414	1.444	1.4373	0.16%
10/31/2007	1.4469	1.4437	1.4503	1.4418	0.21%
11/1/2007	1.4424	1.4468	1.4476	1.4403	-0.31%
11/2/2007	1.4504	1.4425	1.4527	1.4421	0.55%
11/5/2007	1.4476	1.4503	1.4509	1.4442	-0.19%
11/6/2007	1.4561	1.4477	1.4569	1.4468	0.59%
11/7/2007	1.462	1.456	1.4728	1.4553	0.41%
11/8/2007	1.4677	1.4621	1.4703	1.4619	0.39%
11/9/2007	1.4679	1.4678	1.4751	1.4631	0.01%
11/12/2007	1.4522	1.4657	1.4663	1.4519	-1.07%
11/13/2007	1.4618	1.4521	1.4633	1.452	0.66%
11/14/2007	1.4649	1.4619	1.4728	1.4612	0.21%
11/15/2007	1.4618	1.465	1.4702	1.4604	-0.21%
11/16/2007	1.4661	1.4617	1.4671	1.4581	0.29%
11/19/2007	1.4666	1.4669	1.4686	1.462	0.03%
11/20/2007	1.483	1.4667	1.4852	1.4635	1.12%
11/21/2007	1.4855	1.4828	1.4869	1.4775	0.17%
11/22/2007	1.4852	1.4854	1.4872	1.4821	-0.02%
11/23/2007	1.4836	1.485	1.4966	1.4783	-0.11%
11/26/2007	1.4872	1.4835	1.4885	1.4804	0.24%
11/27/2007	1.4835	1.4873	1.4905	1.4808	-0.25%
11/28/2007	1.4838	1.4834	1.4857	1.4711	0.02%
11/29/2007	1.4757	1.4837	1.4842	1.4722	-0.55%
11/30/2007	1.4638	1.4756	1.4783	1.4627	-0.81%
12/3/2007	1.4669	1.4657	1.4706	1.462	0.21%
12/4/2007	1.4763	1.467	1.4767	1.4635	0.64%
12/5/2007	1.4594	1.4762	1.4769	1.459	-1.14%
12/6/2007	1.4656	1.4595	1.4658	1.4527	0.42%
12/7/2007	1.4657	1.4654	1.467	1.4598	0.01%
12/10/2007	1.4708	1.4653	1.4735	1.4639	0.35%
12/11/2007	1.4661	1.4709	1.475	1.4639	-0.32%
12/12/2007	1.4711	1.466	1.4748	1.465	0.34%
12/13/2007	1.4625	1.471	1.4736	1.4577	-0.58%
12/14/2007	1.4429	1.4626	1.4654	1.441	-1.34%
12/17/2007	1.4411	1.4416	1.4453	1.4331	-0.12%
12/18/2007	1.4417	1.441	1.4434	1.4366	0.04%
12/19/2007	1.4382	1.4416	1.4422	1.4325	-0.24%
12/20/2007	1.433	1.4381	1.439	1.4309	-0.36%
12/21/2007	1.4381	1.4331	1.4409	1.4327	0.36%
12/24/2007	1.4406	1.4378	1.4411	1.4374	0.17%
12/25/2007	1.4405	1.4395	1.4415	1.4387	-0.01%
12/26/2007	1.4486	1.4417	1.4504	1.4415	0.56%
12/27/2007	1.461	1.4485	1.4638	1.4468	0.86%
12/28/2007	1.4721	1.4611	1.4728	1.4591	0.76%
12/31/2007	1.4601	1.4735	1.4747	1.4581	-0.82%
1/1/2008	1.4589	1.4585	1.461	1.4576	-0.08%
1/2/2008	1.4715	1.4652	1.4748	1.4641	0.86%
1/3/2008	1.4743	1.4714	1.478	1.4686	0.19%
1/4/2008	1.474	1.4744	1.4823	1.4695	-0.02%
1/7/2008	1.4679	1.4746	1.4747	1.4656	-0.41%
1/8/2008	1.4706	1.4682	1.4741	1.4677	0.18%
1/9/2008	1.466	1.4705	1.4741	1.4638	-0.31%
1/10/2008	1.4798	1.4661	1.4812	1.464	0.94%
1/11/2008	1.4776	1.4799	1.4819	1.476	-0.15%
1/14/2008	1.4866	1.4806	1.4913	1.4796	0.61%
1/15/2008	1.48	1.4867	1.4921	1.4775	-0.44%
1/16/2008	1.4659	1.4801	1.4858	1.4593	-0.95%
1/17/2008	1.4638	1.466	1.4714	1.4589	-0.14%
1/18/2008	1.462	1.4639	1.4693	1.4602	-0.12%
1/21/2008	1.4417	1.4597	1.4597	1.4411	-1.39%
1/22/2008	1.4643	1.4418	1.4683	1.4365	1.57%
1/23/2008	1.4627	1.4642	1.4649	1.451	-0.11%
1/24/2008	1.4771	1.4626	1.4778	1.4591	0.98%
1/25/2008	1.4681	1.477	1.4772	1.466	-0.61%
1/28/2008	1.4785	1.4691	1.4798	1.4661	0.71%
1/29/2008	1.4768	1.4784	1.4786	1.4737	-0.11%
1/30/2008	1.4827	1.4767	1.4906	1.4754	0.40%
1/31/2008	1.4864	1.4828	1.4913	1.4801	0.25%
2/1/2008	1.4801	1.4863	1.4949	1.4786	-0.42%
2/4/2008	1.4827	1.48	1.4847	1.4792	0.18%
2/5/2008	1.4634	1.4826	1.483	1.4621	-1.30%
2/6/2008	1.4612	1.4633	1.467	1.4591	-0.15%
2/7/2008	1.4475	1.4613	1.4651	1.4438	-0.94%
2/8/2008	1.4504	1.4476	1.4546	1.4451	0.20%
2/11/2008	1.45	1.4527	1.4576	1.4481	-0.03%
2/12/2008	1.4578	1.4501	1.4614	1.4496	0.54%
2/13/2008	1.4553	1.4579	1.4596	1.4531	-0.17%
2/14/2008	1.4641	1.4554	1.4648	1.4548	0.60%
2/15/2008	1.4681	1.4639	1.4707	1.463	0.27%
2/18/2008	1.4648	1.4671	1.469	1.461	-0.22%
2/19/2008	1.4728	1.4646	1.4756	1.4642	0.55%
2/20/2008	1.472	1.4727	1.473	1.4613	-0.05%
2/21/2008	1.4812	1.4721	1.4836	1.4702	0.62%
2/22/2008	1.4828	1.4811	1.4861	1.4788	0.11%
2/25/2008	1.4833	1.483	1.4843	1.4794	0.03%
